transaction_id,customer_id,transaction_date,transaction_type,amount,mode,merchant_category,city,is_international,account_balance
35,100040,2026-02-19,debit,2703.77,card,food,Pune,0,340809.43
36,100023,2025-07-20,debit,4289.62,atm,rent,Mumbai,1,62163.66
37,100091,2025-11-09,credit,2439.59,cash,bill_payment,Pune,1,87664.44
38,100082,2025-01-01,debit,1861.63,neft,investment,Bangalore,0,150254.57
39,100033,2025-04-26,debit,2221.47,cash,investment,Pune,0,191757.88
40,100050,2025-08-02,credit,1297.32,salary,investment,Hyderabad,0,239399.21
41,100100,2025-06-22,credit,989.46,atm,rent,Delhi,0,456890.23
42,100011,2025-05-05,debit,4648.0,salary,salary,Chennai,0,28296.86
43,100005,2026-02-20,debit,1827.0,imps,shopping,Chennai,1,46149.26
44,100051,2025-05-21,credit,4437.48,cash,salary,Bangalore,0,216841.09
45,100046,2026-05-01,credit,33665.03,neft,salary,Mumbai,0,124401.97
46,100095,2025-07-02,credit,862.97,atm,food,Chennai,0,46813.51
47,100092,2025-06-29,credit,2657.09,imps,rent,Delhi,1,362713.88
48,100095,2026-03-10,credit,4441.54,atm,food,Delhi,0,266093.34
49,100033,2026-01-09,debit,1033.69,upi,salary,Chennai,0,100530.2
50,100004,2025-04-12,debit,4057.01,cash,travel,Bangalore,0,439071.95
51,100073,2025-03-25,debit,2931.85,cash,shopping,Bangalore,0,47199.01
52,100030,2025-08-02,debit,982.58,neft,transfer,Delhi,1,288640.3
53,100008,2026-05-01,debit,3698.67,atm,transfer,Pune,1,18667.03
54,100057,2025-12-31,debit,2183.71,cash,salary,Chennai,0,406122.13
55,100056,2025-07-15,debit,135.52,card,shopping,Mumbai,0,189640.16
56,100072,2025-09-09,credit,142684.49,card,food,Bangalore,1,466285.19
57,100099,2025-04-14,credit,20821.54,upi,food,Hyderabad,1,55404.99
58,100095,2025-12-11,credit,14400.82,cash,salary,Mumbai,0,68939.27
59,100074,2025-06-02,credit,1002.37,upi,shopping,Chennai,0,250703.88
60,100042,2026-01-08,credit,3224.58,neft,investment,Mumbai,0,277924.67
61,100058,2025-02-24,credit,1964.24,salary,shopping,Bangalore,0,420217.48
62,100070,2025-10-17,credit,4272.95,atm,salary,Chennai,0,459893.53
63,100086,2026-04-02,credit,213.01,atm,investment,Bangalore,0,83578.03
64,100076,2025-06-19,credit,3558.65,salary,bill_payment,Mumbai,0,137337.54
65,100076,2025-08-08,debit,657.01,neft,rent,Bangalore,0,261549.73
66,100027,2026-01-16,credit,4135.36,atm,shopping,Bangalore,0,153816.57
67,100049,2026-04-24,debit,4643.9,upi,salary,Bangalore,0,156343.71
68,100097,2026-01-28,debit,23217.3,neft,investment,Bangalore,0,51829.71
69,100064,2025-03-20,debit,1772.81,atm,bill_payment,Chennai,1,15752.69
70,100067,2026-05-22,credit,4064.28,cash,food,Hyderabad,0,183282.01
71,100035,2025-03-16,credit,1082.99,upi,salary,Delhi,0,95768.95
72,100039,2026-02-01,debit,44515.36,salary,food,Mumbai,0,68661.39
73,100022,2026-04-03,credit,4820.96,atm,investment,Bangalore,0,118870.63
74,100056,2025-05-02,debit,4139.13,neft,shopping,Chennai,1,189655.5
75,100046,2025-08-25,credit,1203.25,salary,investment,Delhi,1,468704.62
76,100025,2025-12-12,debit,40572.96,neft,food,Pune,0,441075.8
77,100026,2025-06-08,debit,1507.04,neft,salary,Hyderabad,0,484326.13
78,100007,2026-05-05,credit,20933.65,card,bill_payment,Hyderabad,0,355544.81
79,100078,2026-03-18,debit,43836.63,atm,transfer,Bangalore,0,75602.32
80,100090,2026-01-21,debit,4786.27,card,food,Hyderabad,0,173450.27
81,100056,2025-04-20,credit,229.22,upi,transfer,Bangalore,0,6963.76
82,100099,2025-07-29,credit,31418.32,cash,bill_payment,Chennai,0,113061.18
83,100063,2025-04-07,credit,120168.31,card,bill_payment,Hyderabad,1,483086.1
84,100003,2025-03-28,credit,2762.42,upi,food,Hyderabad,0,215960.74
85,100089,2025-10-27,credit,191.1,atm,investment,Pune,0,498142.61
86,100053,2025-06-23,debit,32521.81,imps,investment,Chennai,0,431800.43
87,100024,2026-02-06,debit,4550.48,imps,salary,Bangalore,0,117972.06
88,100009,2026-01-27,debit,1459.04,atm,bill_payment,Mumbai,0,499828.64
89,100068,2026-04-26,debit,3350.2,upi,salary,Delhi,1,281640.85
90,100016,2025-12-27,debit,2240.98,neft,food,Pune,0,259566.34
91,100026,2025-12-08,debit,3174.89,neft,travel,Hyderabad,0,391361.36
92,100036,2025-03-19,debit,4278.27,salary,bill_payment,Mumbai,1,44929.91
93,100016,2025-07-28,credit,1235.51,cash,travel,Chennai,1,226075.61
94,100032,2025-07-03,credit,4348.14,atm,travel,Bangalore,0,204340.73
95,100089,2026-05-27,debit,1844.52,neft,investment,Mumbai,1,465897.83
96,100092,2025-02-03,debit,1640.03,card,bill_payment,Delhi,1,268283.28
97,100076,2025-06-09,credit,23899.17,salary,transfer,Chennai,0,151295.83
98,100020,2026-04-28,debit,44944.86,salary,rent,Hyderabad,0,180328.29
99,100028,2026-03-04,debit,27027.19,imps,shopping,Hyderabad,0,479996.13
100,100085,2025-10-16,credit,3473.46,imps,investment,Mumbai,0,127176.92
101,100096,2025-11-04,credit,746.36,salary,transfer,Pune,0,44297.45
102,100061,2025-10-20,credit,2794.18,imps,rent,Mumbai,0,225060.97
103,100085,2025-06-21,debit,2459.43,neft,bill_payment,Chennai,1,350619.26
104,100067,2025-03-11,credit,1168.15,cash,investment,Pune,0,305184.85
105,100032,2025-06-11,credit,107.56,neft,travel,Pune,0,489863.99
106,100044,2025-07-02,debit,13651.15,upi,travel,Delhi,0,215193.16
107,100047,2026-04-23,credit,4127.08,card,rent,Bangalore,0,222883.63
108,100052,2026-04-28,credit,30570.77,imps,food,Hyderabad,0,243144.3
109,100078,2025-11-25,debit,3033.26,upi,investment,Chennai,1,221438.16
110,100096,2025-03-30,debit,2342.67,cash,shopping,Mumbai,0,55827.52
111,100031,2025-06-08,credit,3307.69,imps,bill_payment,Delhi,0,498295.96
112,100013,2026-03-08,debit,1258.61,card,salary,Chennai,0,195780.97
113,100012,2026-01-26,credit,1851.51,neft,salary,Mumbai,0,101350.52
114,100008,2026-02-01,debit,3270.58,upi,transfer,Pune,0,61669.43
115,100044,2025-06-20,debit,1793.66,cash,shopping,Mumbai,0,64606.77
116,100053,2025-07-08,debit,18727.71,atm,investment,Pune,0,490812.95
117,100030,2025-10-19,credit,21410.16,imps,travel,Mumbai,0,107080.11
118,100074,2025-11-15,credit,2399.44,upi,food,Bangalore,1,150849.76
119,100063,2025-02-04,credit,4452.24,neft,salary,Hyderabad,1,208387.69
120,100034,2025-03-13,debit,285.18,neft,food,Delhi,1,264970.62
121,100034,2025-08-03,debit,43495.1,neft,salary,Bangalore,0,93641.9
122,100029,2026-03-05,credit,389.12,atm,investment,Delhi,0,298293.21
123,100025,2026-03-31,credit,2314.02,cash,shopping,Pune,0,420627.25
124,100003,2025-08-22,debit,2862.47,cash,rent,Mumbai,1,318742.98
125,100080,2025-05-24,credit,4111.1,cash,transfer,Mumbai,0,460406.97
126,100078,2026-01-13,debit,27452.2,neft,rent,Delhi,0,395109.78
127,100004,2025-02-24,debit,2039.94,imps,food,Pune,0,399036.14
128,100005,2025-11-25,credit,3306.27,atm,investment,Chennai,0,451846.38
129,100022,2025-04-01,debit,4013.52,salary,shopping,Pune,0,120783.52
130,100024,2025-04-09,credit,3175.31,salary,transfer,Delhi,0,184892.7
131,100086,2025-08-17,credit,1639.07,neft,food,Mumbai,1,21230.84
132,100072,2026-05-04,debit,16268.79,salary,transfer,Bangalore,0,134454.97
133,100097,2026-05-14,debit,4471.15,imps,bill_payment,Bangalore,0,464432.3
134,100085,2026-02-12,credit,43742.0,imps,rent,Bangalore,1,140905.15
135,100088,2025-01-09,credit,4604.53,neft,bill_payment,Bangalore,0,240896.76
136,100012,2026-03-10,credit,4300.72,upi,salary,Chennai,1,320369.76
137,100092,2025-03-11,debit,4864.6,atm,investment,Hyderabad,0,31347.32
138,100069,2025-04-10,credit,397.19,neft,transfer,Pune,0,295446.45
139,100078,2025-03-06,debit,4861.1,neft,rent,Pune,0,263726.68
140,100004,2025-11-09,credit,8548.76,imps,shopping,Bangalore,0,463517.3
141,100036,2025-06-22,credit,3185.18,atm,shopping,Chennai,0,133449.18
142,100068,2025-10-18,credit,131006.89,imps,bill_payment,Pune,0,374984.62
143,100071,2026-01-20,debit,3628.55,card,travel,Bangalore,0,339890.73
144,100054,2025-07-25,credit,1695.9,cash,shopping,Pune,0,274133.57
145,100052,2025-08-25,credit,3904.44,cash,shopping,Delhi,0,319695.8
146,100051,2025-03-22,credit,133031.77,salary,bill_payment,Bangalore,1,246646.84
147,100063,2025-09-18,debit,409.66,upi,travel,Pune,1,497093.78
148,100046,2025-09-12,debit,191.34,imps,food,Pune,0,98770.57
149,100018,2026-03-03,debit,4956.47,neft,salary,Mumbai,0,142884.81
150,100024,2025-06-04,credit,2790.03,neft,shopping,Bangalore,0,26325.93
151,100043,2026-05-17,debit,4501.91,salary,investment,Pune,1,354847.98
152,100069,2025-06-28,debit,1121.96,upi,food,Hyderabad,0,276121.84
153,100010,2025-01-05,debit,2475.74,imps,shopping,Chennai,0,389266.28
154,100045,2025-11-22,debit,5658.65,neft,rent,Hyderabad,0,109081.16
155,100060,2025-12-04,credit,3429.13,neft,bill_payment,Mumbai,0,496473.16
156,100062,2026-02-28,credit,417.23,neft,salary,Chennai,0,105344.69
157,100068,2026-01-29,debit,129.49,neft,salary,Hyderabad,0,337701.81
158,100089,2025-09-25,debit,4448.31,imps,rent,Mumbai,0,114109.95
159,100070,2025-04-08,debit,1673.72,upi,food,Chennai,0,186193.41
160,100025,2025-12-07,debit,4140.56,neft,travel,Mumbai,0,416599.05
161,100067,2025-01-15,credit,1090.36,imps,salary,Mumbai,0,259548.13
162,100085,2025-09-20,debit,22332.62,neft,transfer,Pune,0,25050.73
163,100027,2025-01-20,debit,16523.61,cash,food,Chennai,1,82049.85
164,100058,2025-06-29,debit,40735.0,atm,investment,Pune,1,287026.36
165,100049,2025-05-10,credit,230.51,atm,transfer,Mumbai,1,233199.4
166,100043,2026-04-02,debit,4579.85,imps,food,Mumbai,1,267473.88
167,100092,2026-05-05,debit,1020.68,upi,food,Hyderabad,0,424664.03
168,100010,2026-02-28,credit,3952.26,salary,transfer,Bangalore,0,130955.18
169,100021,2025-06-22,credit,2013.16,imps,rent,Delhi,0,142977.74
170,100011,2025-07-24,credit,4220.42,neft,travel,Mumbai,1,153178.29
171,100071,2026-05-05,debit,44049.16,cash,bill_payment,Delhi,0,44024.55
172,100086,2026-04-21,credit,613.65,cash,shopping,Pune,0,427164.0
173,100004,2025-08-13,credit,3909.88,atm,travel,Hyderabad,0,300605.85
174,100069,2025-08-18,credit,3110.65,card,transfer,Pune,0,111787.74
175,100060,2025-01-19,debit,3426.82,card,transfer,Chennai,0,79157.54
176,100073,2025-06-23,debit,299.08,neft,transfer,Mumbai,0,235355.94
177,100040,2026-01-28,credit,3279.13,imps,salary,Mumbai,0,189404.81
178,100084,2025-11-14,credit,4115.17,imps,salary,Mumbai,0,304906.99
179,100062,2025-12-23,credit,734.99,upi,rent,Pune,0,280788.48
180,100033,2025-02-05,credit,15136.07,cash,shopping,Hyderabad,0,103066.99
181,100070,2025-01-10,debit,4195.51,salary,investment,Chennai,0,256745.95
182,100047,2025-01-13,debit,33599.89,atm,shopping,Delhi,0,277065.67
183,100066,2025-04-08,credit,4736.33,card,rent,Bangalore,0,251335.06
184,100087,2026-03-20,credit,4971.3,salary,food,Pune,0,342437.79
185,100049,2025-12-31,debit,766.3,cash,bill_payment,Pune,0,19499.29
186,100094,2026-02-02,debit,7091.5,cash,shopping,Hyderabad,0,195710.52
187,100036,2025-08-14,credit,2888.76,salary,transfer,Mumbai,1,278611.28
188,100055,2026-04-18,credit,466.28,card,travel,Hyderabad,0,374541.04
189,100023,2025-02-05,debit,635.31,salary,transfer,Delhi,0,392359.79
190,100016,2025-04-30,debit,103228.47,imps,salary,Delhi,0,119711.18
191,100039,2025-02-18,credit,4785.36,upi,transfer,Bangalore,0,73177.31
192,100008,2025-12-19,credit,4653.23,imps,food,Pune,1,27667.76
193,100097,2026-03-11,debit,3448.66,cash,bill_payment,Delhi,0,222610.27
194,100057,2025-11-07,debit,9791.27,cash,shopping,Delhi,0,82180.36
195,100029,2025-09-28,debit,4784.95,upi,travel,Hyderabad,1,295997.44
196,100042,2025-06-17,credit,2335.66,neft,food,Bangalore,0,364470.9
197,100081,2026-05-25,debit,26416.22,upi,food,Hyderabad,0,118568.88
198,100088,2026-03-24,credit,2662.18,neft,investment,Pune,0,28001.7
199,100082,2025-11-21,debit,4813.56,cash,bill_payment,Bangalore,0,376316.92
200,100065,2025-04-25,credit,2981.6,cash,rent,Hyderabad,1,92801.21
201,100014,2026-05-04,credit,4110.58,cash,investment,Bangalore,0,294084.31
202,100092,2026-02-19,credit,3589.03,neft,travel,Hyderabad,0,404062.78
203,100046,2025-11-05,credit,1602.83,cash,travel,Mumbai,0,198289.09
204,100050,2025-10-05,credit,1522.15,cash,rent,Pune,0,88951.21
205,100070,2026-05-22,debit,186.55,upi,shopping,Hyderabad,0,323693.18
206,100057,2025-03-28,credit,2670.32,card,investment,Bangalore,0,464833.92
207,100081,2025-01-31,credit,992.75,upi,food,Delhi,0,406116.37
208,100039,2025-10-29,credit,3858.08,card,transfer,Bangalore,0,201698.62
209,100054,2025-08-16,credit,4332.47,upi,transfer,Delhi,0,155979.55
210,100007,2025-09-24,credit,4313.05,neft,investment,Bangalore,0,469353.2
211,100042,2025-07-22,debit,3932.11,neft,travel,Pune,1,256604.96
212,100093,2025-05-29,debit,20456.8,card,rent,Delhi,0,388930.15
213,100092,2026-02-27,credit,4212.59,neft,food,Mumbai,0,318957.52
214,100029,2025-01-12,credit,3180.91,imps,shopping,Delhi,0,442296.92
215,100014,2025-09-09,debit,845.54,neft,transfer,Hyderabad,0,6192.77
216,100037,2026-03-31,credit,1709.67,upi,rent,Mumbai,0,350521.76
217,100099,2025-12-27,debit,3771.74,imps,food,Bangalore,0,318431.18
218,100057,2025-11-14,credit,287.62,imps,investment,Pune,0,268723.88
219,100041,2025-11-04,debit,15123.44,atm,shopping,Chennai,1,381465.54
220,100076,2025-10-29,credit,1821.91,imps,rent,Chennai,0,219492.17
221,100094,2025-08-02,credit,2218.61,imps,bill_payment,Hyderabad,0,106036.7
222,100020,2025-01-25,debit,4238.43,cash,transfer,Pune,0,286195.28
223,100099,2025-08-02,credit,377.21,neft,investment,Pune,1,487230.73
224,100014,2026-04-18,debit,2663.89,imps,food,Mumbai,0,346003.73
225,100008,2025-02-06,debit,1511.08,card,investment,Chennai,0,257052.0
226,100039,2025-03-14,credit,12643.16,upi,shopping,Chennai,1,91296.03
227,100025,2026-04-06,credit,3354.43,neft,bill_payment,Bangalore,0,8511.09
228,100084,2026-03-27,debit,43137.12,cash,food,Pune,0,82132.33
229,100048,2025-04-01,debit,3151.45,neft,bill_payment,Mumbai,0,34210.75
230,100041,2026-04-17,credit,3952.59,salary,rent,Chennai,0,101525.19
231,100068,2025-06-18,credit,14606.54,neft,shopping,Bangalore,0,348633.78
232,100034,2026-04-27,debit,4768.01,salary,rent,Pune,0,368454.27
233,100021,2025-08-25,credit,4049.48,upi,salary,Pune,0,337674.89
234,100058,2026-02-25,credit,13435.57,cash,bill_payment,Mumbai,1,239741.23
235,100012,2025-08-29,credit,160.51,upi,investment,Delhi,0,324008.26
236,100094,2025-09-24,credit,1628.22,cash,salary,Pune,0,368661.51
237,100098,2025-10-05,credit,3506.8,salary,travel,Bangalore,0,211656.77
238,100052,2026-03-28,debit,3226.45,neft,shopping,Chennai,0,266478.29
239,100087,2025-05-14,credit,43901.93,card,rent,Delhi,0,205050.59
240,100005,2026-03-20,debit,4985.36,upi,food,Delhi,0,143137.67
241,100085,2025-01-02,debit,896.64,cash,travel,Delhi,0,199978.63
242,100067,2025-11-15,debit,14965.4,neft,travel,Chennai,0,20654.76
243,100005,2026-04-02,credit,78379.26,neft,transfer,Bangalore,0,264722.17
244,100059,2025-06-25,debit,3234.96,neft,food,Bangalore,1,259668.72
245,100054,2025-01-07,credit,1860.32,atm,transfer,Chennai,1,97142.09
246,100081,2025-07-31,debit,27006.64,cash,travel,Hyderabad,0,395797.54
247,100016,2026-05-04,credit,3484.04,imps,rent,Delhi,0,259677.11
248,100050,2025-02-14,debit,109577.47,cash,investment,Hyderabad,1,483745.07
249,100040,2025-05-08,credit,3407.1,atm,bill_payment,Hyderabad,1,432773.32
250,100031,2026-04-22,debit,515.68,card,bill_payment,Bangalore,1,330509.25
251,100042,2025-09-29,credit,53937.74,cash,food,Hyderabad,0,142679.48
252,100017,2025-11-15,debit,3190.03,imps,food,Hyderabad,0,357598.37
253,100045,2025-10-06,credit,3973.35,neft,shopping,Chennai,0,50648.0
254,100016,2025-11-26,credit,1179.6,neft,salary,Delhi,0,46178.42
255,100063,2025-10-09,debit,4236.38,atm,salary,Chennai,0,460852.93
256,100037,2026-05-24,debit,49835.11,atm,shopping,Bangalore,1,437094.66
257,100074,2026-06-01,credit,46608.71,neft,food,Pune,0,497257.67
258,100019,2025-09-25,credit,2946.29,upi,rent,Delhi,0,155704.69
259,100087,2026-04-03,credit,1810.96,imps,transfer,Mumbai,0,381639.46
260,100094,2025-01-04,credit,1139.13,salary,shopping,Hyderabad,1,76085.61
261,100044,2025-10-15,credit,27526.87,imps,bill_payment,Bangalore,1,355105.07
262,100053,2026-03-10,debit,1426.83,salary,shopping,Delhi,0,105568.45
263,100028,2025-07-29,debit,3642.7,atm,rent,Bangalore,0,40291.22
264,100079,2026-04-22,credit,3038.08,upi,food,Chennai,0,127630.4
265,100074,2025-03-27,debit,1760.28,upi,transfer,Bangalore,1,327280.71
266,100071,2025-07-04,credit,37893.65,upi,bill_payment,Bangalore,0,175258.57
267,100069,2025-10-27,debit,3120.52,cash,rent,Pune,0,117781.31
268,100017,2025-05-24,debit,14991.53,cash,bill_payment,Mumbai,1,409852.43
269,100100,2025-06-06,credit,19828.92,atm,salary,Pune,1,437706.5
270,100013,2025-02-11,credit,630.92,upi,bill_payment,Bangalore,0,444347.14
271,100041,2025-05-23,debit,292.38,imps,food,Pune,0,405438.52
272,100033,2025-12-24,debit,2163.95,salary,shopping,Delhi,0,143767.19
273,100039,2026-01-07,debit,1353.49,upi,food,Hyderabad,0,335962.4
274,100007,2025-09-16,debit,2061.52,card,rent,Hyderabad,0,384599.56
275,100030,2025-08-30,credit,3663.76,upi,food,Hyderabad,1,381954.85
276,100031,2026-04-11,credit,4582.43,imps,rent,Bangalore,1,151357.64
277,100005,2026-03-04,credit,644.24,imps,travel,Mumbai,0,90154.9
278,100028,2025-05-12,credit,2893.74,cash,shopping,Delhi,0,88172.21
279,100038,2025-08-03,credit,1285.21,atm,transfer,Hyderabad,0,142902.13
280,100082,2025-12-11,debit,18585.11,atm,bill_payment,Pune,0,22557.64
281,100006,2025-10-08,debit,20844.1,salary,shopping,Mumbai,0,429589.92
282,100096,2026-04-14,debit,45557.68,cash,travel,Hyderabad,1,130111.93
283,100007,2025-05-24,debit,35579.01,card,travel,Mumbai,0,133893.24
284,100082,2026-02-12,debit,1980.43,salary,salary,Chennai,0,241852.97
285,100029,2025-04-13,debit,2397.61,atm,investment,Pune,0,54295.38
286,100078,2025-09-15,credit,1704.09,card,travel,Hyderabad,0,261684.61
287,100019,2026-05-12,debit,21829.83,neft,shopping,Chennai,0,161280.21
288,100076,2025-07-27,debit,5798.17,card,salary,Delhi,0,483303.65
289,100087,2026-04-02,credit,2551.65,neft,salary,Hyderabad,0,68539.12
290,100050,2025-05-30,credit,558.41,neft,salary,Mumbai,0,79427.76
291,100028,2025-01-21,debit,195.85,neft,transfer,Hyderabad,1,128796.88
292,100066,2026-01-23,credit,13495.6,card,shopping,Chennai,0,72260.65
293,100029,2025-05-15,credit,14612.18,card,food,Hyderabad,0,157244.2
294,100032,2025-08-08,debit,568.19,upi,travel,Pune,0,121973.12
295,100072,2025-01-12,debit,1454.08,atm,rent,Delhi,0,210086.82
296,100061,2025-11-26,debit,3715.74,salary,food,Hyderabad,0,488217.78
297,100029,2025-10-14,credit,13446.88,atm,shopping,Bangalore,0,140403.85
298,100049,2026-02-19,debit,4124.33,upi,salary,Mumbai,0,274409.06
299,100073,2025-01-22,credit,2462.98,atm,food,Hyderabad,0,70986.25
300,100022,2025-01-02,credit,2611.25,neft,rent,Mumbai,0,398710.98
301,100055,2025-03-08,debit,3032.5,atm,investment,Delhi,0,287782.22
302,100071,2025-06-20,credit,14820.42,salary,investment,Pune,1,356690.96
303,100085,2025-08-16,credit,2264.16,atm,travel,Hyderabad,0,323722.72
304,100050,2025-01-20,credit,744.9,card,food,Pune,0,295247.28
305,100020,2025-06-28,debit,2269.3,salary,investment,Bangalore,0,313349.19
306,100050,2026-05-09,credit,4830.17,card,salary,Delhi,0,104130.62
307,100033,2025-04-09,credit,2345.52,upi,rent,Hyderabad,1,259252.5
308,100056,2025-04-27,credit,3212.74,imps,salary,Hyderabad,0,145780.82
309,100088,2026-01-13,debit,1319.37,card,shopping,Mumbai,0,488544.29
310,100090,2025-12-08,debit,4235.29,imps,bill_payment,Hyderabad,1,169170.83
311,100095,2025-06-12,credit,1400.5,salary,salary,Chennai,0,342339.22
312,100036,2026-02-23,debit,1665.07,card,investment,Delhi,0,19381.21
313,100028,2025-05-02,debit,90206.88,atm,shopping,Hyderabad,0,163149.98
314,100078,2026-05-01,debit,4508.62,upi,bill_payment,Chennai,0,30661.61
315,100033,2025-01-16,debit,2491.59,atm,travel,Bangalore,1,207297.35
316,100046,2025-07-07,credit,4652.2,salary,travel,Bangalore,0,38411.11
317,100038,2026-06-01,debit,107.92,imps,travel,Bangalore,0,220770.13
318,100049,2025-08-18,debit,1357.51,card,transfer,Pune,0,136235.48
319,100063,2026-05-02,debit,4584.26,atm,rent,Hyderabad,1,454567.98
320,100048,2026-05-28,debit,828.1,neft,bill_payment,Chennai,0,16834.08
321,100032,2025-04-08,credit,4469.58,cash,bill_payment,Chennai,1,444024.37
322,100006,2025-03-19,debit,4158.59,cash,salary,Mumbai,0,268701.58
323,100099,2026-04-25,credit,82038.07,atm,travel,Mumbai,0,75590.17
324,100066,2025-01-14,credit,14443.62,upi,salary,Delhi,0,235786.03
325,100081,2026-02-05,credit,15929.91,upi,transfer,Delhi,0,355887.29
326,100096,2025-08-26,debit,3081.86,card,shopping,Delhi,0,310133.69
327,100002,2026-04-02,debit,36402.98,imps,transfer,Delhi,0,403987.46
328,100042,2025-12-03,credit,4526.19,card,rent,Hyderabad,0,421450.94
329,100097,2025-05-09,credit,6938.15,salary,salary,Delhi,0,372914.15
330,100080,2026-02-28,debit,128121.33,cash,salary,Mumbai,0,174333.08
331,100015,2025-01-27,debit,2086.99,neft,salary,Delhi,0,199911.78
332,100057,2025-11-21,credit,36955.42,salary,salary,Hyderabad,1,198596.75
333,100010,2025-10-20,credit,3059.76,card,transfer,Bangalore,0,380422.5
334,100066,2025-10-14,credit,30660.29,atm,food,Pune,0,219815.09
335,100048,2026-04-18,debit,2087.69,cash,salary,Pune,0,22069.42
336,100047,2025-07-25,credit,1976.94,card,investment,Mumbai,1,101169.48
337,100068,2025-11-28,debit,3485.08,salary,salary,Bangalore,0,216381.46
338,100055,2025-09-04,credit,32949.51,upi,food,Hyderabad,0,164365.21
339,100013,2025-05-20,credit,16479.21,upi,shopping,Delhi,0,461369.57
340,100084,2025-11-20,debit,16378.36,neft,food,Hyderabad,0,370626.5
341,100040,2026-03-20,debit,115.62,card,salary,Bangalore,1,332689.63
342,100042,2025-05-01,debit,1812.28,neft,salary,Hyderabad,0,279413.92
343,100022,2026-02-23,debit,3222.9,salary,food,Bangalore,0,139539.77
344,100057,2025-05-08,credit,20164.57,card,transfer,Pune,0,451300.59
345,100057,2025-06-03,debit,4808.07,card,travel,Mumbai,0,120626.07
346,100033,2025-08-12,credit,2955.5,card,salary,Pune,1,96575.87
347,100081,2026-03-24,debit,47060.59,imps,investment,Bangalore,0,165502.85
348,100043,2025-05-22,credit,2668.95,atm,food,Hyderabad,0,179062.63
349,100091,2025-03-21,credit,1291.24,cash,bill_payment,Delhi,1,356495.43
350,100095,2025-03-21,credit,640.65,salary,salary,Chennai,1,414800.92
351,100091,2025-03-15,debit,5875.0,card,transfer,Bangalore,0,240283.16
352,100068,2026-03-05,debit,3386.68,cash,rent,Pune,1,96372.6
353,100048,2026-02-12,debit,561.36,neft,transfer,Mumbai,0,473170.36
354,100048,2025-02-11,debit,4300.92,salary,shopping,Chennai,0,260711.97
355,100018,2025-03-18,credit,1545.6,cash,rent,Pune,0,377389.51
356,100068,2026-05-31,credit,48306.85,salary,investment,Pune,0,173990.95
357,100064,2026-05-31,debit,110636.47,atm,transfer,Hyderabad,0,16468.06
358,100036,2025-06-10,credit,24469.57,upi,food,Delhi,0,33336.36
359,100057,2026-02-05,debit,1599.97,upi,transfer,Pune,0,228312.04
